phen_id,trait_type,phenocode,pheno_sex,coding,modifier,description,category,n_cases_EUR,filename
0,biomarkers,30600,both_sexes,,irnt,Albumin,Biological samples > Assay results > Blood assays > Blood biochemistry,367192.0,biomarkers-30600-both_sexes-irnt.tsv.bgz
1,biomarkers,30610,both_sexes,,irnt,Alkaline phosphatase,Biological samples > Assay results > Blood assays > Blood biochemistry,400988.0,biomarkers-30610-both_sexes-irnt.tsv.bgz
2,biomarkers,30620,both_sexes,,irnt,Alanine aminotransferase,Biological samples > Assay results > Blood assays > Blood biochemistry,400822.0,biomarkers-30620-both_sexes-irnt.tsv.bgz
3,biomarkers,30630,both_sexes,,irnt,Apolipoprotein A,Biological samples > Assay results > Blood assays > Blood biochemistry,364987.0,biomarkers-30630-both_sexes-irnt.tsv.bgz
4,biomarkers,30640,both_sexes,,irnt,Apolipoprotein B,Biological samples > Assay results > Blood assays > Blood biochemistry,399003.0,biomarkers-30640-both_sexes-irnt.tsv.bgz
5,biomarkers,30650,both_sexes,,irnt,Aspartate aminotransferase,Biological samples > Assay results > Blood assays > Blood biochemistry,399482.0,biomarkers-30650-both_sexes-irnt.tsv.bgz
6,biomarkers,30660,both_sexes,,irnt,Direct bilirubin,Biological samples > Assay results > Blood assays > Blood biochemistry,340934.0,biomarkers-30660-both_sexes-irnt.tsv.bgz
7,biomarkers,30670,both_sexes,,irnt,Urea,Biological samples > Assay results > Blood assays > Blood biochemistry,400687.0,biomarkers-30670-both_sexes-irnt.tsv.bgz
8,biomarkers,30680,both_sexes,,irnt,Calcium,Biological samples > Assay results > Blood assays > Blood biochemistry,367050.0,biomarkers-30680-both_sexes-irnt.tsv.bgz
9,biomarkers,30690,both_sexes,,irnt,Cholesterol,Biological samples > Assay results > Blood assays > Blood biochemistry,400963.0,biomarkers-30690-both_sexes-irnt.tsv.bgz
10,biomarkers,30700,both_sexes,,irnt,Creatinine,Biological samples > Assay results > Blood assays > Blood biochemistry,400761.0,biomarkers-30700-both_sexes-irnt.tsv.bgz
11,biomarkers,30710,both_sexes,,irnt,C-reactive protein,Biological samples > Assay results > Blood assays > Blood biochemistry,400094.0,biomarkers-30710-both_sexes-irnt.tsv.bgz
12,biomarkers,30720,both_sexes,,irnt,Cystatin C,Biological samples > Assay results > Blood assays > Blood biochemistry,400940.0,biomarkers-30720-both_sexes-irnt.tsv.bgz
13,biomarkers,30730,both_sexes,,irnt,Gamma glutamyltransferase,Biological samples > Assay results > Blood assays > Blood biochemistry,400751.0,biomarkers-30730-both_sexes-irnt.tsv.bgz
14,biomarkers,30740,both_sexes,,irnt,Glucose,Biological samples > Assay results > Blood assays > Blood biochemistry,366759.0,biomarkers-30740-both_sexes-irnt.tsv.bgz
15,biomarkers,30750,both_sexes,,irnt,Glycated haemoglobin (HbA1c),Biological samples > Assay results > Blood assays > Blood biochemistry,400825.0,biomarkers-30750-both_sexes-irnt.tsv.bgz
16,biomarkers,30760,both_sexes,,irnt,HDL cholesterol,Biological samples > Assay results > Blood assays > Blood biochemistry,367021.0,biomarkers-30760-both_sexes-irnt.tsv.bgz
17,biomarkers,30770,both_sexes,,irnt,IGF-1,Biological samples > Assay results > Blood assays > Blood biochemistry,398797.0,biomarkers-30770-both_sexes-irnt.tsv.bgz
18,biomarkers,30780,both_sexes,,irnt,LDL direct,Biological samples > Assay results > Blood assays > Blood biochemistry,400223.0,biomarkers-30780-both_sexes-irnt.tsv.bgz
19,biomarkers,30790,both_sexes,,irnt,Lipoprotein A,Biological samples > Assay results > Blood assays > Blood biochemistry,318922.0,biomarkers-30790-both_sexes-irnt.tsv.bgz
20,biomarkers,30800,both_sexes,,irnt,Oestradiol,Biological samples > Assay results > Blood assays > Blood biochemistry,63332.0,biomarkers-30800-both_sexes-irnt.tsv.bgz
21,biomarkers,30810,both_sexes,,irnt,Phosphate,Biological samples > Assay results > Blood assays > Blood biochemistry,366484.0,biomarkers-30810-both_sexes-irnt.tsv.bgz
22,biomarkers,30820,both_sexes,,irnt,Rheumatoid factor,Biological samples > Assay results > Blood assays > Blood biochemistry,35667.0,biomarkers-30820-both_sexes-irnt.tsv.bgz
23,biomarkers,30830,both_sexes,,irnt,SHBG,Biological samples > Assay results > Blood assays > Blood biochemistry,363650.0,biomarkers-30830-both_sexes-irnt.tsv.bgz
24,biomarkers,30840,both_sexes,,irnt,Total bilirubin,Biological samples > Assay results > Blood assays > Blood biochemistry,399286.0,biomarkers-30840-both_sexes-irnt.tsv.bgz
25,biomarkers,30850,both_sexes,,irnt,Testosterone,Biological samples > Assay results > Blood assays > Blood biochemistry,363203.0,biomarkers-30850-both_sexes-irnt.tsv.bgz
26,biomarkers,30860,both_sexes,,irnt,Total protein,Biological samples > Assay results > Blood assays > Blood biochemistry,366758.0,biomarkers-30860-both_sexes-irnt.tsv.bgz
27,biomarkers,30870,both_sexes,,irnt,Triglycerides,Biological samples > Assay results > Blood assays > Blood biochemistry,400639.0,biomarkers-30870-both_sexes-irnt.tsv.bgz
28,biomarkers,30880,both_sexes,,irnt,Urate,Biological samples > Assay results > Blood assays > Blood biochemistry,400469.0,biomarkers-30880-both_sexes-irnt.tsv.bgz
29,biomarkers,30890,both_sexes,,irnt,Vitamin D,Biological samples > Assay results > Blood assays > Blood biochemistry,383324.0,biomarkers-30890-both_sexes-irnt.tsv.bgz
30,categorical,100020,both_sexes,100020,,Typical diet yesterday,Online follow-up > Diet by 24-hour recall > Typical diet yesterday,48239.0,categorical-100020-both_sexes-100020.tsv.bgz
31,categorical,100240,both_sexes,100240,,Coffee consumed,Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday,41565.0,categorical-100240-both_sexes-100240.tsv.bgz
32,categorical,100260,both_sexes,100260,,Added milk to instant coffee,Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday,24393.0,categorical-100260-both_sexes-100260.tsv.bgz
33,categorical,100280,both_sexes,100280,,Added milk to filtered coffee,Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday,7634.0,categorical-100280-both_sexes-100280.tsv.bgz
34,categorical,100320,both_sexes,100320,,Added milk to espresso,Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday,279.0,categorical-100320-both_sexes-100320.tsv.bgz
35,categorical,100350,both_sexes,100350,,Added milk to other coffee type,Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday,314.0,categorical-100350-both_sexes-100350.tsv.bgz
36,categorical,100360,both_sexes,100360,,Decaffeinated coffee,Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday,6758.0,categorical-100360-both_sexes-100360.tsv.bgz
37,categorical,100390,both_sexes,100390,,Tea consumed,Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday,47029.0,categorical-100390-both_sexes-100390.tsv.bgz
38,categorical,100460,both_sexes,100460,,Added milk to standard tea,Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday,38654.0,categorical-100460-both_sexes-100460.tsv.bgz
39,categorical,100470,both_sexes,100470,,Decaffeinated tea,Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday,2789.0,categorical-100470-both_sexes-100470.tsv.bgz
40,categorical,100480,both_sexes,100480,,Added milk to rooibos tea,Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday,1049.0,categorical-100480-both_sexes-100480.tsv.bgz
41,categorical,100510,both_sexes,100510,,Other non-alcoholic drinks,Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday,7742.0,categorical-100510-both_sexes-100510.tsv.bgz
42,categorical,100580,both_sexes,100580,,Alcohol consumed,Online follow-up > Diet by 24-hour recall > Alcoholic beverages yesterday,29005.0,categorical-100580-both_sexes-100580.tsv.bgz
43,categorical,100760,both_sexes,100760,,Breakfast cereal consumed,Online follow-up > Diet by 24-hour recall > Cereal yesterday,39049.0,categorical-100760-both_sexes-100760.tsv.bgz
44,categorical,100880,both_sexes,100880,,Dried fruit added to cereal,Online follow-up > Diet by 24-hour recall > Cereal yesterday,17052.0,categorical-100880-both_sexes-100880.tsv.bgz
45,categorical,100890,both_sexes,100890,,Milk added to cereal,Online follow-up > Diet by 24-hour recall > Cereal yesterday,33205.0,categorical-100890-both_sexes-100890.tsv.bgz
46,categorical,100920,both_sexes,0,,Type milk consumed,Online follow-up > Diet by 24-hour recall > Milk/eggs/cheese yesterday,2889.0,categorical-100920-both_sexes-0.tsv.bgz
47,categorical,100920,both_sexes,2102,,Type milk consumed,Online follow-up > Diet by 24-hour recall > Milk/eggs/cheese yesterday,36618.0,categorical-100920-both_sexes-2102.tsv.bgz
48,categorical,100920,both_sexes,2103,,Type milk consumed,Online follow-up > Diet by 24-hour recall > Milk/eggs/cheese yesterday,12071.0,categorical-100920-both_sexes-2103.tsv.bgz
49,categorical,100920,both_sexes,2104,,Type milk consumed,Online follow-up > Diet by 24-hour recall > Milk/eggs/cheese yesterday,3302.0,categorical-100920-both_sexes-2104.tsv.bgz
50,categorical,100920,both_sexes,2105,,Type milk consumed,Online follow-up > Diet by 24-hour recall > Milk/eggs/cheese yesterday,1796.0,categorical-100920-both_sexes-2105.tsv.bgz
51,categorical,100920,both_sexes,2106,,Type milk consumed,Online follow-up > Diet by 24-hour recall > Milk/eggs/cheese yesterday,757.0,categorical-100920-both_sexes-2106.tsv.bgz
52,categorical,100920,both_sexes,2107,,Type milk consumed,Online follow-up > Diet by 24-hour recall > Milk/eggs/cheese yesterday,362.0,categorical-100920-both_sexes-2107.tsv.bgz
53,categorical,100920,both_sexes,2108,,Type milk consumed,Online follow-up > Diet by 24-hour recall > Milk/eggs/cheese yesterday,337.0,categorical-100920-both_sexes-2108.tsv.bgz
54,categorical,100920,both_sexes,2109,,Type milk consumed,Online follow-up > Diet by 24-hour recall > Milk/eggs/cheese yesterday,269.0,categorical-100920-both_sexes-2109.tsv.bgz
55,categorical,100920,both_sexes,2110,,Type milk consumed,Online follow-up > Diet by 24-hour recall > Milk/eggs/cheese yesterday,110.0,categorical-100920-both_sexes-2110.tsv.bgz
56,categorical,100920,both_sexes,2199,,Type milk consumed,Online follow-up > Diet by 24-hour recall > Milk/eggs/cheese yesterday,272.0,categorical-100920-both_sexes-2199.tsv.bgz
57,categorical,100920,both_sexes,222,,Type milk consumed,Online follow-up > Diet by 24-hour recall > Milk/eggs/cheese yesterday,107.0,categorical-100920-both_sexes-222.tsv.bgz
58,categorical,100940,both_sexes,100940,,Bread consumed,Online follow-up > Diet by 24-hour recall > Bread/pasta/rice yesterday,50452.0,categorical-100940-both_sexes-100940.tsv.bgz
59,categorical,102080,both_sexes,102080,,Yogurt/ice-cream consumers,Online follow-up > Diet by 24-hour recall > Soup/snacks/pastries yesterday,23912.0,categorical-102080-both_sexes-102080.tsv.bgz
60,categorical,102130,both_sexes,102130,,Dessert consumers,Online follow-up > Diet by 24-hour recall > Soup/snacks/pastries yesterday,19026.0,categorical-102130-both_sexes-102130.tsv.bgz
61,categorical,102250,both_sexes,102250,,Sweet snack consumers,Online follow-up > Diet by 24-hour recall > Soup/snacks/pastries yesterday,31994.0,categorical-102250-both_sexes-102250.tsv.bgz
62,categorical,102400,both_sexes,102400,,Savoury snack consumers,Online follow-up > Diet by 24-hour recall > Soup/snacks/pastries yesterday,20947.0,categorical-102400-both_sexes-102400.tsv.bgz
63,categorical,102520,both_sexes,102520,,Soup consumers,Online follow-up > Diet by 24-hour recall > Soup/snacks/pastries yesterday,7856.0,categorical-102520-both_sexes-102520.tsv.bgz
64,categorical,102700,both_sexes,102700,,Starchy food consumers,Online follow-up > Diet by 24-hour recall > Bread/pasta/rice yesterday,15639.0,categorical-102700-both_sexes-102700.tsv.bgz
65,categorical,102800,both_sexes,102800,,Cheese consumers,Online follow-up > Diet by 24-hour recall > Milk/eggs/cheese yesterday,26596.0,categorical-102800-both_sexes-102800.tsv.bgz
66,categorical,102930,both_sexes,102930,,Egg consumers,Online follow-up > Diet by 24-hour recall > Milk/eggs/cheese yesterday,12435.0,categorical-102930-both_sexes-102930.tsv.bgz
67,categorical,103000,both_sexes,103000,,Meat consumers,Online follow-up > Diet by 24-hour recall > Meat/fish yesterday,40770.0,categorical-103000-both_sexes-103000.tsv.bgz
68,categorical,103120,both_sexes,103120,,Fat removed from meat,Online follow-up > Diet by 24-hour recall > Meat/fish yesterday,14284.0,categorical-103120-both_sexes-103120.tsv.bgz
69,categorical,103130,both_sexes,103130,,Skin removed from poultry,Online follow-up > Diet by 24-hour recall > Meat/fish yesterday,12695.0,categorical-103130-both_sexes-103130.tsv.bgz
70,categorical,103140,both_sexes,103140,,Fish consumer,Online follow-up > Diet by 24-hour recall > Meat/fish yesterday,16876.0,categorical-103140-both_sexes-103140.tsv.bgz
71,categorical,103250,both_sexes,103250,,Vegetarian alternatives intake,Online follow-up > Diet by 24-hour recall > Vegetarian alternatives yesterday,2080.0,categorical-103250-both_sexes-103250.tsv.bgz
72,categorical,103310,both_sexes,103310,,Spreads/sauces consumers,Online follow-up > Diet by 24-hour recall > Spreads/sauces/cooking oils yesterday,29752.0,categorical-103310-both_sexes-103310.tsv.bgz
73,categorical,103990,both_sexes,103990,,Vegetable consumers,Online follow-up > Diet by 24-hour recall > Fruit/vegetables yesterday,48496.0,categorical-103990-both_sexes-103990.tsv.bgz
74,categorical,104400,both_sexes,104400,,Fruit consumers,Online follow-up > Diet by 24-hour recall > Fruit/vegetables yesterday,47993.0,categorical-104400-both_sexes-104400.tsv.bgz
75,categorical,104670,both_sexes,104670,,Vitamin supplement user,Online follow-up > Diet by 24-hour recall > Vitamin/mineral supplements yesterday,24127.0,categorical-104670-both_sexes-104670.tsv.bgz
76,categorical,110001,both_sexes,110001,,"Invitation to complete online 24-hour recall dietary questionnaire, acceptance",Online follow-up > Diet by 24-hour recall,80776.0,categorical-110001-both_sexes-110001.tsv.bgz
77,categorical,1150,both_sexes,1,,Usual side of head for mobile phone use,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Electronic device use,125964.0,categorical-1150-both_sexes-1.tsv.bgz
78,categorical,1150,both_sexes,2,,Usual side of head for mobile phone use,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Electronic device use,203928.0,categorical-1150-both_sexes-2.tsv.bgz
79,categorical,1150,both_sexes,3,,Usual side of head for mobile phone use,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Electronic device use,22966.0,categorical-1150-both_sexes-3.tsv.bgz
80,categorical,120,both_sexes,1,,Birth weight known,UK Biobank Assessment Centre > Verbal interview > Early life factors,238519.0,categorical-120-both_sexes-1.tsv.bgz
81,categorical,120,both_sexes,2,,Birth weight known,UK Biobank Assessment Centre > Verbal interview > Early life factors,1197.0,categorical-120-both_sexes-2.tsv.bgz
82,categorical,120,both_sexes,9,,Birth weight known,UK Biobank Assessment Centre > Verbal interview > Early life factors,180757.0,categorical-120-both_sexes-9.tsv.bgz
83,categorical,1210,both_sexes,1210,,Snoring,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep,245268.0,categorical-1210-both_sexes-1210.tsv.bgz
84,categorical,12187,both_sexes,0,,Brain MRI measuring method,UK Biobank Assessment Centre > Imaging > Brain MRI,35352.0,categorical-12187-both_sexes-0.tsv.bgz
85,categorical,12187,both_sexes,6,,Brain MRI measuring method,UK Biobank Assessment Centre > Imaging > Brain MRI,273.0,categorical-12187-both_sexes-6.tsv.bgz
86,categorical,12187,both_sexes,7,,Brain MRI measuring method,UK Biobank Assessment Centre > Imaging > Brain MRI,1162.0,categorical-12187-both_sexes-7.tsv.bgz
87,categorical,12188,both_sexes,12188,,Operator indicated brain MRI measurement completed,UK Biobank Assessment Centre > Imaging > Brain MRI,29721.0,categorical-12188-both_sexes-12188.tsv.bgz
88,categorical,12223,both_sexes,0,,Abdominal MRI measuring method,UK Biobank Assessment Centre > Imaging > Abdominal MRI,35853.0,categorical-12223-both_sexes-0.tsv.bgz
